"","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"265176",132709,"Oksana Aleksandrovna Yatskaya","F",23,161,54,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Women's 15 kilometres",NA
"265177",132709,"Oksana Aleksandrovna Yatskaya","F",23,161,54,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Women's 30 kilometres",NA
"265178",132709,"Oksana Aleksandrovna Yatskaya","F",23,161,54,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Women's 5/5 kilometres Pursuit",NA
"265179",132709,"Oksana Aleksandrovna Yatskaya","F",23,161,54,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",NA
"265180",132709,"Oksana Aleksandrovna Yatskaya","F",27,161,54,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's Sprint",NA
"265181",132709,"Oksana Aleksandrovna Yatskaya","F",27,161,54,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's 30 kilometres",NA
"265182",132709,"Oksana Aleksandrovna Yatskaya","F",27,161,54,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's 15 km Skiathlon",NA
"265183",132709,"Oksana Aleksandrovna Yatskaya","F",27,161,54,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",NA
"265184",132709,"Oksana Aleksandrovna Yatskaya","F",27,161,54,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's Team Sprint",NA
"265185",132709,"Oksana Aleksandrovna Yatskaya","F",31,161,54,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Women's Sprint",NA
"265186",132709,"Oksana Aleksandrovna Yatskaya","F",31,161,54,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Women's 10 kilometres",NA
"265187",132709,"Oksana Aleksandrovna Yatskaya","F",31,161,54,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Women's 30 kilometres",NA
"265188",132709,"Oksana Aleksandrovna Yatskaya","F",31,161,54,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Women's 15 km Skiathlon",NA
"265189",132709,"Oksana Aleksandrovna Yatskaya","F",31,161,54,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",NA
"265190",132709,"Oksana Aleksandrovna Yatskaya","F",31,161,54,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Women's Team Sprint",NA
"265318",132780,"Aleksey Yegorov","M",21,201,92,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 100 metres Freestyle",NA
"265319",132780,"Aleksey Yegorov","M",21,201,92,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 200 metres Freestyle",NA
"265320",132780,"Aleksey Yegorov","M",21,201,92,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay",NA
"265321",132780,"Aleksey Yegorov","M",21,201,92,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 4 x 100 metres Medley Relay",NA
"265330",132785,"Grigory Aleksandrovich Yegorov","M",37,185,75,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Men's Pole Vault",NA
"265334",132788,"Yevgeny Vladimirovich Yegorov","M",20,180,83,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Canoeing","Canoeing Men's Kayak Singles, 500 metres",NA
"265335",132788,"Yevgeny Vladimirovich Yegorov","M",20,180,83,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres",NA
"265405",132812,"Serik Samatovich Yeleuov","M",23,169,60,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Boxing","Boxing Men's Lightweight","Bronze"
"265406",132813,"Daniyar Maratovich Yeleusinov","M",21,178,64,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Boxing","Boxing Men's Light-Welterweight",NA
"265407",132813,"Daniyar Maratovich Yeleusinov","M",25,178,64,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Boxing","Boxing Men's Welterweight","Gold"
"265411",132817,"Margarita Yeliseyeva","F",24,150,48,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Weightlifting","Weightlifting Women's Flyweight",NA
"265443",132828,"Oleg Yem","M",22,NA,64,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Weightlifting","Weightlifting Men's Featherweight",NA
"265449",132833,"Aleksandr Gennadiyevich Yemelyanov","M",32,184,97,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres",NA
"265451",132835,"Mikhail Aleksandrovich Yemelyanov","M",17,192,75,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Canoeing","Canoeing Men's Canadian Singles, 500 metres",NA
"265452",132835,"Mikhail Aleksandrovich Yemelyanov","M",17,192,75,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Canoeing","Canoeing Men's Canadian Singles, 1,000 metres",NA
"265541",132869,"Kayrat Yeraliyev","M",25,165,56,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Boxing","Boxing Men's Bantamweight",NA
"265544",132872,"Vera Yeremenko","F",22,170,60,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Alpine Skiing","Alpine Skiing Women's Giant Slalom",NA
"265545",132872,"Vera Yeremenko","F",22,170,60,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Alpine Skiing","Alpine Skiing Women's Slalom",NA
"265546",132873,"Vitaly Mikhaylovich Yeremeyev","M",22,186,78,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"265547",132873,"Vitaly Mikhaylovich Yeremeyev","M",30,186,78,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"265550",132876,"Feruza Adylzhanovna Yergeshova","F",20,172,68,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Taekwondo","Taekwondo Women's Heavyweight",NA
